"","vend","percent","lower","upper"
"1","A",6.71742188736388,5.91765932197861,7.52322329617798
"2","B",5.23213251737282,4.44350101958526,6.02671881017616
"3","E",-3.03163839758918,-3.75833947661454,-2.29945014746363
"4","F",-8.1696486502957,-8.8578444113701,-7.47625646389537
