"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"diam.nom",2,72.893525701429,36.4467628507145,177681.599787246,2.19382764681201e-39
"dp.nom",3,1.40888274281423,0.469627580938077,2289.48124219093,2.00453997061581e-23
"vend",3,0.1804696516419,0.0601565505473,293.269176818459,1.8275860073249e-15
"diam.nom:dp.nom",6,0.00258168926575008,0.000430281544291681,2.09766539381903,0.104345591278425
"diam.nom:vend",6,0.00272923954405528,0.000454873257342546,2.21755244481129,0.088980035281056
"dp.nom:vend",9,0.00263619625505322,0.000292910695005913,1.42796881842758,0.248061242456695
"Residuals",18,0.0036922322406957,0.000205124013371983,NA,NA
