"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"diam.nom",2,75.6360712046825,37.8180356023412,56737.2792724444,6.34959558452142e-35
"dp.nom",3,1.34274584390274,0.447581947967579,671.493946596451,1.1762600893673e-18
"vend",3,0.282664969966336,0.0942216566554453,141.357962200486,1.06394629537671e-12
"diam.nom:dp.nom",6,0.00500652012019467,0.000834420020032446,1.25185565440022,0.327245199591213
"diam.nom:vend",6,0.0390936863423037,0.00651561439038395,9.77518338567236,7.43423451867592e-05
"dp.nom:vend",9,0.0047912404405634,0.000532360048951489,0.798684021784117,0.622481756871549
"Residuals",18,0.0119978372169275,0.000666546512051527,NA,NA
